,Sample1162-EO2
GPR89A,0.04175153
PDZK1,0.43350875
CD160,0.003692506
RNF115,0.2412653
POLR3C,0.039772764
NUDT17,0.0069010244
PIAS3,0.03290174
ITGA10,0.00822438
PEX11B,0.09553326
RBM8A,0.5746484
LIX1L,0.049183387
POLR3GL,0.17242599
TXNIP,1.3173267
NOTCH2NLA,0.009777133
NBPF12,0.023778379
PRKAB2,0.06476882
ENSG00000237188,0.01019785
FMO5,0.03710648
CHD1L,0.037898332
BCL9,0.059697624
ACP6,0.054112073
GJA5,0.048703883
NBPF11,0.02301115
NBPF14,0.017134884
PDE4DIP,0.18486837
NBPF9,0.0020375436
ENSG00000274265,0.09461361
NBPF19,0.024333227
FCGR1A,0.003559421
H2BC18,0.0042555593
H2AC19,0.0
H2AC20,0.100388125
BOLA1,0.08895584
SF3B4,0.1708716
MTMR11,0.04306301
OTUD7B,0.08624794
VPS45,0.08896799
PLEKHO1,0.045679614
ANP32E,0.26432124
APH1A,0.32694224
C1orf54,0.14719816
MRPS21,0.78515196
PRPF3,0.04795861
RPRD2,0.116139464
TARS2,0.045135573
ECM1,0.005598789
ADAMTSL4-AS2,0.0
MCL1,0.45307204
ENSA,0.41956246
GOLPH3L,0.08214453
CTSS,0.044986457
CTSK,0.0073631336
ARNT,0.06561482
SETDB1,0.04780609
CERS2,0.32461065
ANXA9,0.04882126
MINDY1,0.057441965
C1orf56,0.20056984
CDC42SE1,0.24766912
MLLT11,0.022281775
GABPB2,0.05379652
TNFAIP8L2,0.0
SCNM1,0.0717665
LYSMD1,0.023911372
VPS72,0.13826296
PIP5K1A,0.12127977
PSMD4,0.31119913
ZNF687,0.04799489
PI4KB,0.12865803
RFX5,0.052291416
SELENBP1,0.24351108
PSMB4,0.51846224
POGZ,0.21042834
CGN,0.075259075
TUFT1,0.102080986
SNX27,0.19343127
MRPL9,0.1334528
OAZ3,0.004821336
TDRKH,0.008981453
TDRKH-AS1,0.001857598
THEM4,0.13386355
S100A10,1.6074625
S100A11,1.4579946
TCHH,0.0
S100A9,0.0065523484
S100A12,0.0
S100A8,0.00265936
S100A7,0.0
S100A6,2.6906824
S100A5,0.018976567
S100A4,0.52531207
S100A16,0.42833725
S100A14,0.14447118
S100A13,0.8769788
CHTOP,0.19134612
SNAPIN,0.15747833
ILF2,0.4063692
NPR1,0.075717926
INTS3,0.107505195
SLC27A3,0.039440587
GATAD2B,0.10289664
DENND4B,0.05207797
CRTC2,0.07293147
SLC39A1,0.18196668
CREB3L4,0.028747194
JTB,0.5251201
JTB-DT,0.0052635805
RAB13,0.49540582
RPS27,2.858577
TPM3,0.51619124
C1orf43,0.5698521
UBAP2L,0.1450911
HAX1,0.41631013
ATP8B2,0.02184908
IL6R,0.09958011
SHE,0.03230616
UBE2Q1,0.16923405
ADAR,0.27001238
KCNN3,0.04705563
PMVK,0.39235905
PBXIP1,0.22422223
PYGO2,0.06803014
SHC1,0.123028815
CKS1B,0.13914597
FLAD1,0.07398888
ZBTB7B,0.087031364
ADAM15,0.08373843
EFNA4,0.026329773
EFNA3,0.001377507
EFNA1,0.17015164
SLC50A1,0.13026921
DPM3,0.6922916
KRTCAP2,0.4760423
MUC1,0.8033196
THBS3,0.01579255
MTX1,0.25181293
GBA1,0.0868998
ENTREP3,0.040081147
SCAMP3,0.13775742
CLK2,0.038687326
FDPS,0.36891428
RUSC1,0.056829374
ASH1L,0.3244439
MSTO1,0.02513242
YY1AP1,0.1024518
DAP3,0.16329724
GON4L,0.1090194
SYT11,0.038432647
RIT1,0.12924667
KHDC4,0.09256413
ARHGEF2,0.04723176
SSR2,0.5373092
UBQLN4,0.04880011
LAMTOR2,0.54389274
RAB25,0.23141637
LMNA,0.6461542
SEMA4A,0.05652331
SLC25A44,0.08164867
PMF1,0.27272177
SMG5,0.08994439
TMEM79,0.006392227
GLMP,0.1257933
CCT3,0.40403575
MEF2D,0.11656089
NAXE,0.40818945
GPATCH4,0.06380034
NES,0.07051237
CRABP2,0.051706262
ISG20L2,0.09392388
METTL25B,0.06359585
MRPL24,0.22141114
HDGF,0.32028762
PRCC,0.11947538
SH2D2A,0.0
PEAR1,0.026840439
ARHGEF11,0.05942178
ETV3,0.0515023
CD5L,0.0
KIRREL1,0.023540743
CD1D,0.0035760603
CD1C,0.0
MNDA,0.013250542
PYHIN1,0.011541541
IFI16,0.12810287
ACKR1,0.0
FCER1A,0.016015721
ENSG00000228560,0.0
APCS,0.0
DUSP23,0.4301785
FCRL6,0.0
TAGLN2,0.5707176
PIGM,0.06941585
IGSF8,0.14315957
ATP1A2,0.010674623
PEA15,0.15064017
DCAF8,0.15678312
PEX19,0.1628999
COPA,0.33684352
NCSTN,0.20015806
SLAMF6,0.0
CD84,0.009133793
SLAMF1,0.007119046
CD48,0.0180924
SLAMF7,0.0
LY9,0.0
CD244,0.0026005295
ITLN1,0.03268158
F11R,0.19122772
TSTD1,0.8170694
USF1,0.043382246
ARHGAP30,0.008434229
NECTIN4,0.017560225
KLHDC9,0.08781883
PFDN2,0.7338396
NIT1,0.1403287
DEDD,0.05368322
UFC1,0.5266724
USP21,0.009021436
PPOX,0.04375157
B4GALT3,0.09580097
ADAMTS4,0.005655721
NDUFS2,0.574124
FCER1G,0.043901175
APOA2,0.0071605877
TOMM40L,0.035249382
SDHC,0.6256929
FCGR2A,0.022585703
HSPA6,0.004746522
FCGR3A,0.017841231
FCGR3B,0.0
FCGR2B,0.005069555
FCRLB,0.028552717
DUSP12,0.06548316
ATF6-DT,0.0
ATF6,0.2241891
OLFML2B,0.0068396716
SH2D1B,0.0072104954
UHMK1,0.33238015
UAP1,0.2199257
