,PRE038
DPH5-DT,0.020953622
S1PR1,0.088788934
RNPC3,0.09659284
PRMT6,0.041431032
VAV3,0.1994573
SLC25A24,0.088546276
EEIG2,0.009177154
HENMT1,0.012603505
PRPF38B,0.13977578
STXBP3,0.17000894
GPSM2,0.003276591
CLCC1,0.044958893
WDR47,0.031315785
TAF13,0.123985946
TMEM167B,0.114703
SARS1,0.17358093
CELSR2,0.03253855
PSRC1,0.007248894
SORT1,0.16933297
PSMA5,0.24628405
CYB561D1,0.014989944
AMIGO1,0.010409855
GNAI3,0.15514447
AMPD2,0.0439159
GSTM4,0.1456516
GSTM1,0.0012965471
GSTM5,0.0050196494
GSTM3,0.18057485
CSF1,0.016064484
AHCYL1,0.44546926
STRIP1,0.0346602
KCNC4,0.064106576
RBM15,0.025046146
SLC16A4,0.7016435
LAMTOR5,1.3943379
CD53,0.042106744
LRIF1,0.031327747
DRAM2,0.106195554
CEPT1,0.06845429
ENSG00000273221,0.0042446074
DENND2D,0.03229525
WDR77,0.028754765
ATP5PB,0.6062635
C1orf162,0.029509507
TMIGD3,0.0011431029
ADORA3,0.0013468422
RAP1A,0.2954464
DDX20,0.04799924
CTTNBP2NL,0.082318865
WNT2B,0.009691611
ST7L,0.045026317
CAPZA1,0.20862255
MOV10,0.069591664
RHOC,0.80761474
PPM1J,0.0050915754
SLC16A1,0.09556453
SLC16A1-AS1,0.010947644
LRIG2,0.07924769
MAGI3,0.051726364
PHTF1,0.026315456
RSBN1,0.097433284
PTPN22,0.01401424
AP4B1,0.012787391
DCLRE1B,0.008618426
HIPK1-AS1,0.003890868
HIPK1,0.109773256
OLFML3,0.0015769094
TRIM33,0.1319217
BCAS2,0.19067216
DENND2C,0.01566375
NRAS,0.09622553
CSDE1,0.78750914
SIKE1,0.16099112
TSPAN2,0.043002456
NGF,0.00077608996
VANGL1,0.038667645
CASQ2,0.020069538
SLC22A15,0.012176363
ATP1A1,0.967549
CD58,0.10213444
CD2,0.03776507
PTGFRN,0.007415604
TTF2,0.020908363
TRIM45,0.008315025
VTCN1,0.021345936
MAN1A2,0.17944516
TENT5C,0.068665534
GDAP2,0.052370496
WDR3,0.035524726
WARS2,0.034972608
PHGDH,0.32081616
HMGCS2,0.017766722
NOTCH2,0.051782303
SEC22B,0.23656021
LINC00623,0.0040097144
FCGR1BP,0.0008346094
SRGAP2C,0.047438286
LINC02591,0.0
LINC02802,0.0030618126
NBPF15,0.0018820125
SRGAP2B,0.045277383
ENSG00000276216,0.0018246371
GPR89A,0.05867156
PDZK1,0.8126941
